index,country_isomap_x,country_isomap_y,country_tsne_x,country_tsne_y,country_umap_x,country_umap_y
water,-0.3562995137930873,0.8085284297138109,132.7009,-70.82311,2.6213252999999996,8.786244
coffee,-0.4249509323746184,-0.9570545111031196,25.942064000000002,42.907692,2.784182,10.231145
tea,-1.4901123871141728,-0.7295997890227988,47.13097,-34.610786,3.3612816,10.124433
juice,-0.8921852121919924,0.688544963667617,144.08758999999998,-36.706432,3.3919002999999996,9.029527999999999
milk,-0.9382666320475758,-0.4737947020275102,68.89425,-7.7926,2.798608,9.599297
soda,1.9123269164351864,-0.10368571330489998,-199.19788,43.97978,-0.32460523,7.052282000000001
energy drink,0.5698358473289173,0.7246532464224641,98.628426,-140.20228999999998,0.9764255,8.114008
milkshake,0.09139960057546197,-0.7117570319843052,-16.458927,35.458259999999996,2.3040380000000003,10.541155
smoothie,0.6336196110164979,0.27118394701490184,65.73312,-151.5602,1.4384620000000001,8.159293
alcohol,2.016665821053865,1.0138288316397628,-215.3304,135.51463,-0.7138045,7.7591470000000005
liquor,1.6962967814516046,0.5237122235511482,-187.68794,96.85348499999999,-0.24653551,7.6148334
beer,2.2143854937564234,-0.4503392493902945,-228.26947,70.855225,-0.64468324,7.246511999999999
wine,-2.1393907443267266,0.5837136377071787,241.68825,37.148952,4.782280999999999,8.72511
cider,0.2638942658872722,-0.9208363976761608,-55.05975,39.05199,2.0281162,10.256535000000001
vodka,-1.9040484836803064,0.3912896403086408,200.17856,46.98587,4.425211,8.304066
rum,-0.7272128932818295,-0.6385577941733969,68.938324,49.22248,3.294398,9.619042
whiskey,1.2918495743961007,-0.5006197511553052,-157.62861999999998,58.996502,0.17264867,7.300947
champagne,-1.8178071130910216,0.4807900198122661,214.14726000000002,6.1638703,4.195115,8.858889
